id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
534,a,,,4.5,506,134,0,0,0,0,5.6,66,27,8,6,4.0,81,29,0,38,4.0,78,29,0.9,1.8,0,26473,12854,92151,54780,4.0,4.0,0.04,0.28,0.32,2.64,0.02,0.15,0.17,1.41,28.0,142,63,58.5,21,3,15.0,113,34,10.2,68,17,3.0,,,2,,Trai,Hume,Hume,,,169,0,0,1,1,0,0,0,0,0,0,2,10,,,,0.0,0.53,0.53,1.07,5.33,7,3,10
535,a,100.0,100.0,5.0,266,41,0,0,0,0,0.4,280,105,1,0,1.0,270,104,0,2,0.5,304,112,0.1,0.2,0,3750,1153,11963,6699,0.5,0.5,0.0,0.01,0.01,0.1,0.0,0.04,0.04,0.39,0.0,523,199,0.6,297,110,0.0,478,192,0.0,530,199,,,,2,,Omar,Alderete,Alderete,,,23,0,0,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.91,0.0,0.0,0,0,2
536,a,,,4.5,487,122,0,0,0,0,0.4,269,100,7,6,3.5,97,35,0,35,3.5,91,35,0.8,1.6,0,2394,1419,6361,2783,3.5,3.5,0.0,0.3,0.3,2.75,0.0,0.15,0.15,1.38,39.4,95,43,33.5,70,18,6.0,185,64,7.9,101,36,,,,2,,Reinildo,Mandava,Reinildo,,,180,0,0,1,2,0,0,0,0,0,0,2,15,,,,0.0,0.5,1.0,1.0,7.5,4,11,8
537,u,0.0,,4.5,522,140,0,0,0,0,0.0,604,203,0,0,0.0,468,180,0,0,0.0,468,180,0.0,0.0,0,61,3,399,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,181,0.0,451,182,0.0,393,171,0.0,459,181,,,,2,,Jenson,Seelt,Seelt,Has joined Swansea City on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
538,u,0.0,0.0,4.0,619,186,0,0,0,0,0.0,502,175,0,0,0.0,388,134,0,0,0.0,388,134,0.0,0.0,0,0,0,1551,561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,136,0.0,362,134,0.0,287,108,0.0,380,136,,,,2,,Leo Fuhr,Hjelde,Hjelde,Has joined KV Mechelen on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
539,a,,,4.0,590,165,0,0,0,0,3.1,105,42,1,0,1.0,224,69,0,1,0.5,272,88,0.1,0.2,0,8473,3871,40351,22812,0.5,0.5,0.01,0.01,0.02,1.69,0.01,0.01,0.02,2.3,11.4,226,92,1.4,267,93,4.0,196,69,1.7,268,98,,,,2,,Luke,O'Nien,O'Nien,,,66,0,0,0,1,0,0,0,1,0,0,1,5,,,,0.0,0.0,1.36,1.36,6.82,1,4,4
540,u,0.0,0.0,4.0,583,161,0,0,0,0,0.2,354,132,0,0,0.0,367,124,0,0,0.0,367,124,0.0,0.0,0,0,0,7424,2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349,126,0.0,339,122,0.0,261,93,0.0,358,125,,,,2,,Arthur,Masuaku,Masuaku,Has joined Konyaspor permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
541,a,100.0,100.0,4.5,429,83,0,0,0,0,0.3,297,110,7,6,3.5,95,33,0,32,3.5,89,33,0.8,1.6,0,2900,1890,3299,1581,3.5,3.5,0.1,0.13,0.23,2.75,0.05,0.06,0.11,1.38,36.4,112,51,25.3,103,32,20.0,90,23,8.2,94,32,,,,2,,Thomas,Meunier,Meunier,,,180,0,0,1,2,0,0,0,0,0,0,2,12,,,,0.0,0.5,1.0,1.0,6.0,2,10,8
542,a,,,5.9,106,67,-1,1,-1,1,6.5,64,21,5,3,2.5,147,67,0,26,2.5,142,67,0.4,0.8,0,16345,4959,287213,172103,2.5,2.5,0.37,0.2,0.57,2.55,0.2,0.11,0.31,1.37,8.0,249,108,31.1,78,50,30.0,64,38,7.0,124,62,1.0,2.0,2.0,2,,Enzo,Le Fée,E.Le Fée,,,168,0,0,1,1,0,0,0,0,0,0,2,8,,,,0.0,0.54,0.54,1.07,4.29,2,1,5
543,d,75.0,,5.5,194,121,0,0,0,0,0.1,486,198,5,4,2.5,144,65,0,18,2.5,139,65,0.5,0.9,0,455,120,2560,1383,1.9,2.5,0.03,0.16,0.19,0.12,0.1,0.51,0.61,0.39,15.6,203,81,10.9,181,103,2.0,241,116,2.9,221,98,,,1.0,2,,Habib,Diarra,Diarra,Unspecified injury - 75% chance of playing,,28,0,1,0,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,3.21,0.0,0.0,0,0,0
544,a,,,5.5,122,79,0,0,0,0,4.6,78,25,15,6,7.5,23,12,5,60,7.5,22,12,1.4,2.7,0,74381,31600,50430,32215,7.5,7.5,0.0,0.45,0.45,2.75,0.0,0.22,0.22,1.38,39.2,97,34,89.3,6,6,0.0,578,240,12.8,38,29,2.0,1.0,,2,,Granit,Xhaka,Xhaka,,,180,0,1,1,2,0,0,0,0,0,0,2,20,,,,0.0,0.5,1.0,1.0,10.0,3,3,14
545,a,,,5.0,372,225,0,0,0,0,0.3,298,102,5,3,2.5,137,61,0,39,2.5,131,61,0.5,1.0,0,2551,1386,6895,3398,2.5,2.5,0.08,0.05,0.13,2.75,0.04,0.02,0.06,1.38,33.0,125,46,39.9,51,40,31.0,61,36,10.4,64,40,,,,2,,Noah,Sadiki,Sadiki,,,180,0,0,1,2,0,0,0,0,0,0,2,13,,,,0.0,0.5,1.0,1.0,6.5,3,6,4
546,i,0.0,0.0,4.9,414,252,-1,1,-1,1,0.0,497,204,0,0,0.0,520,206,0,0,0.0,520,206,0.0,0.0,0,219,166,4991,1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503,195,0.0,505,203,0.0,451,162,0.0,512,199,,,,2,,Simon,Adingra,Adingra,Ankle injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
