season,gameweek,position,position_rank,player_code,player_id,first_name,second_name,web_name,team_code,club,points,minutes,goals_scored,assists,clean_sheets,bonus
2026-2027,3,Goalkeeper,1,433969,597,Zion,Suzuki,Suzuki,7,AVL,10,90.0,0.0,0.0,1.0,3.0
2026-2027,3,Goalkeeper,2,116535,350,Alisson,Becker,A.Becker,14,LIV,8,90.0,0.0,0.0,1.0,1.0
2026-2027,3,Defender,1,244723,204,Tyrick,Mitchell,Mitchell,31,CRY,15,73.0,2.0,0.0,0.0,2.0
2026-2027,3,Defender,2,226182,330,Jayden,Bogle,Bogle,2,LEE,14,60.0,1.0,0.0,1.0,3.0
2026-2027,3,Defender,3,610799,504,Luka,Vušković,Vuskovic,36,BHA,12,90.0,1.0,0.0,0.0,2.0
2026-2027,3,Defender,4,491279,503,Micky,van de Ven,Van de Ven,6,TOT,9,90.0,0.0,0.0,1.0,3.0
2026-2027,3,Defender,5,209036,388,Marc,Guéhi,Guéhi,43,MCI,8,90.0,0.0,0.0,1.0,2.0
2026-2027,3,Midfielder,1,201666,453,Harvey,Barnes,Barnes,4,NEW,12,90.0,1.0,1.0,0.0,2.0
2026-2027,3,Midfielder,2,204580,98,Vitaly,Janelt,Janelt,94,BRE,11,90.0,1.0,0.0,0.0,3.0
2026-2027,3,Midfielder,3,243298,367,Cody,Gakpo,Gakpo,14,LIV,11,90.0,0.0,2.0,1.0,2.0
2026-2027,3,Midfielder,4,184029,15,Martin,Ødegaard,Ødegaard,3,ARS,10,76.0,1.0,0.0,0.0,3.0
2026-2027,3,Midfielder,5,201658,68,Marcus,Tavernier,Tavernier,91,BOU,10,88.0,1.0,0.0,0.0,3.0
2026-2027,3,Forward,1,219168,379,Alexander,Isak,Isak,14,LIV,13,63.0,2.0,0.0,1.0,3.0
2026-2027,3,Forward,2,223094,411,Erling,Haaland,Haaland,43,MCI,9,90.0,1.0,0.0,1.0,3.0
2026-2027,3,Forward,3,219847,26,Kai,Havertz,Havertz,3,ARS,8,77.0,1.0,0.0,0.0,2.0
