season,gameweek,position,position_rank,player_code,player_id,first_name,second_name,web_name,team_code,club,points,minutes,goals_scored,assists,clean_sheets,bonus
2026-2027,5,Goalkeeper,1,472739,110,Carl,Rushworth,Rushworth,9,COV,11,90.0,0.0,1.0,1.0,2.0
2026-2027,5,Goalkeeper,2,432720,385,James,Trafford,Trafford,2,LEE,10,90.0,0.0,0.0,1.0,3.0
2026-2027,5,Defender,1,173878,176,Jay,Dasilva,Dasilva,9,COV,15,90.0,1.0,0.0,1.0,3.0
2026-2027,5,Defender,2,17761,229,James,Tarkowski,Tarkowski,11,EVE,14,90.0,0.0,1.0,1.0,3.0
2026-2027,5,Defender,3,513086,93,Jannik,Schuster,Schuster,94,BRE,14,90.0,0.0,1.0,1.0,3.0
2026-2027,5,Defender,4,487838,449,Lewis,Hall,Hall,4,NEW,13,90.0,1.0,0.0,0.0,3.0
2026-2027,5,Defender,5,461102,173,Bobby,Thomas,Thomas,9,COV,9,90.0,0.0,0.0,1.0,1.0
2026-2027,5,Midfielder,1,437730,397,Antoine,Semenyo,Semenyo,43,MCI,17,90.0,2.0,1.0,0.0,2.0
2026-2027,5,Midfielder,2,60307,124,Pascal,Groß,Groß,36,BHA,14,90.0,1.0,1.0,1.0,3.0
2026-2027,5,Midfielder,3,614071,53,Johan,Manzambi,Manzambi,7,AVL,13,71.0,1.0,1.0,1.0,2.0
2026-2027,5,Midfielder,4,195546,41,Emiliano,Buendía Stati,Buendía,7,AVL,12,90.0,1.0,0.0,0.0,3.0
2026-2027,5,Midfielder,5,200089,460,Joe,Willock,Willock,4,NEW,10,86.0,1.0,0.0,0.0,3.0
2026-2027,5,Forward,1,441264,552,Brian,Brobbey,Brobbey,56,SUN,17,90.0,3.0,0.0,0.0,3.0
2026-2027,5,Forward,2,647850,138,Charalampos,Kostoulas,Kostoulas,36,BHA,10,75.0,1.0,1.0,1.0,2.0
2026-2027,5,Forward,3,219168,379,Alexander,Isak,Isak,14,LIV,8,80.0,1.0,0.0,1.0,3.0
