id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,,,6.0,61,1,0,0,0,0,38.5,6,1,12,0,6.0,41,2,0,45,4.0,68,3,0.7,2.0,0,333653,21971,323547,12841,4.0,4.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.26,17.4,194,20,0.0,633,71,0.0,628,71,1.8,267,20,,,,3,,David,Raya Martín,Raya,,,180,0,0,2,0,0,0,0,0,0,1,2,0,,,,0.5,1.0,0.0,1.0,0.0,0,2,19
4,a,,,8.0,7,1,0,0,0,0,25.6,10,2,13,0,6.5,28,12,0,44,4.3,60,24,0.5,1.6,0,110027,4379,489911,20161,4.3,4.3,0.18,0.03,0.21,0.53,0.09,0.02,0.11,0.26,24.8,154,69,5.0,210,67,7.0,182,61,3.6,207,81,,,,3,,Gabriel,dos Santos Magalhães,Gabriel,,,180,0,0,2,0,0,0,0,1,0,0,2,14,,,,0.0,1.0,0.0,1.0,7.0,2,12,7
5,d,25.0,25.0,6.5,40,3,0,0,0,0,0.1,449,158,0,0,0.0,646,214,0,0,0.0,646,214,0.0,0.0,0,1048,98,5741,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645,214,0.0,645,214,0.0,644,214,0.0,645,214,,,,3,,Jurriën,Timber,J.Timber,Groin injury - 25% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
6,i,0.0,0.0,6.0,75,8,0,0,0,0,0.2,325,119,0,0,0.0,638,213,0,0,0.0,638,213,0.0,0.0,0,2081,133,12858,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634,213,0.0,635,213,0.0,630,213,0.0,635,213,,,,3,,William,Saliba,Saliba,Back injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
7,a,,,5.5,177,108,0,0,0,0,0.7,228,76,6,0,3.0,133,54,0,30,2.0,171,78,0.4,1.1,0,19429,887,23401,860,2.0,2.0,0.13,0.13,0.26,0.53,0.07,0.07,0.14,0.3,21.6,171,64,26.1,99,61,12.0,133,68,6.0,146,71,,,,3,,Myles,Lewis-Skelly,Lewis-Skelly,,,160,0,0,2,0,0,0,0,0,0,0,2,12,,,,0.0,1.12,0.0,1.12,6.75,1,5,6
8,a,,,5.7,117,11,0,0,2,-2,46.0,4,1,20,0,10.0,5,2,2,61,6.7,14,6,1.2,3.5,0,871676,46092,164859,4670,6.7,6.7,0.15,0.55,0.7,0.39,0.08,0.29,0.37,0.21,47.2,69,28,24.1,110,34,13.0,126,40,8.4,89,28,,,,3,,Riccardo,Calafiori,Calafiori,,,170,0,2,2,0,0,0,0,0,0,0,2,8,,,,0.0,1.06,0.0,1.06,4.24,2,6,5
9,a,,,5.3,236,34,-1,1,-2,2,1.2,175,69,1,0,1.0,318,121,0,3,0.3,355,127,0.1,0.2,0,8873,538,78718,2031,0.3,0.3,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.5,0.4,333,124,0.5,310,116,0.0,558,205,0.1,346,123,,,,3,,Piero,Hincapié,Hincapie,,,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
10,a,100.0,100.0,5.5,133,15,0,0,0,0,7.6,57,22,18,0,9.0,10,3,3,63,6.0,25,10,1.1,3.3,0,325612,17376,152113,9682,6.0,6.0,0.18,0.26,0.44,0.53,0.09,0.13,0.22,0.26,49.6,59,22,47.1,35,7,13.0,124,39,11.0,56,12,,,,3,,Benjamin,White,White,,,180,0,1,2,0,0,0,0,0,0,0,2,9,,,,0.0,1.0,0.0,1.0,4.5,2,7,5
11,d,75.0,75.0,5.5,178,25,0,0,0,0,4.3,83,33,12,0,6.0,39,17,0,52,4.0,66,29,0.7,2.2,0,29166,210,187914,13597,3.0,3.0,0.0,0.01,0.01,0.53,0.0,0.01,0.01,0.28,24.6,157,71,2.0,250,85,0.0,606,211,2.7,227,88,,,,3,,Cristhian,Mosquera,Mosquera,Unspecified injury - 75% chance of playing,,168,0,0,2,0,0,0,0,0,0,0,2,10,,,,0.0,1.07,0.0,1.07,5.36,0,10,3
12,a,,,9.5,4,3,0,0,0,0,11.0,38,14,20,0,10.0,7,3,4,82,6.7,16,6,0.7,2.1,0,267977,22687,142738,6222,6.7,6.7,1.27,0.12,1.39,0.39,0.73,0.07,0.8,0.22,83.8,6,5,34.1,66,45,77.0,10,6,19.5,7,6,2.0,2.0,1.0,3,,Bukayo,Saka,Saka,,,157,2,0,2,0,0,0,0,0,0,0,2,18,,,,0.0,1.15,0.0,1.15,10.32,3,5,10
