id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
313,Jack,Clarke,Clarke,a,,,5.5,160,96,0.2,319,114,2.7,121,51,1,0,0,0,0,89,463,0.5,1.5,2.7,2.7,4.0,80,37,,,123,45,302,152,97,51,166,80,3.0,3.0,1.0,,,,,0.31,0.04,0.35,0.19,0.0,0.0,0.0,0.0,8.37,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,3,94,505,0,0.04999999999999999,0.02,0.07,0.06,0.0,0.0,0.0,0.0,0,1,1,2
314,Chiedozie,Ogbene,Ogbene,u,Has joined Lincoln City on loan until January,,4.9,393,239,0.0,595,251,0.0,529,210,0,0,0,-1,1,0,66,0.0,0.0,0.0,0.0,0.0,529,210,0.0,0.0,498,192,498,199,445,158,507,196,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
315,Abdul,Fatawu,Fatawu,a,,,5.5,180,110,0.2,336,121,2.7,123,53,2,0,0,0,0,301,260,0.5,1.5,2.7,2.7,2.7,146,63,,,73,29,13,13,149,73,40,30,,,,,,,,0.01,0.31,0.32,2.36,0.0,0.0,3.2,1.2,6.8,3,2,78,0,0,0,2,0,0,0,0,0,0,1,0,14,317,280,0,0.03,0.15000000000000002,0.18000000000000005,0.6900000000000004,0.0,0.0,0.0,0.0,2,2,2,6
316,Emersonn,Correia da Silva,Emersonn,a,,,5.5,183,42,1.7,139,20,4.0,67,6,2,0,0,0,0,4732,3358,0.7,2.2,4.0,4.0,4.0,81,8,100.0,100.0,70,5,54,2,42,13,41,6,,,2.0,,,,,0.53,0.03,0.56,1.04,0.0,0.0,2.06,1.54,3.6,3,2,65,0,0,0,2,0,0,0,0,0,0,1,0,8,4901,3530,0,0.22000000000000008,0.0,0.22000000000000008,0.6200000000000001,0.0,0.0,0.0,0.0,1,1,1,3
317,George,Hirst,Hirst,u,Has joined Stoke City permanently,,5.0,281,53,0.1,410,59,0.0,558,58,0,0,0,0,0,0,219,0.0,0.0,0.0,0.0,0.0,558,58,0.0,0.0,532,49,533,54,489,51,539,54,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
318,Jaden,Philogene,Philogene,i,Ankle injury - Unknown return date,,5.4,220,136,0.1,439,174,0.0,610,259,0,0,0,-1,1,2,192,0.0,0.0,0.0,0.0,0.0,610,259,0.0,0.0,591,249,597,254,573,235,598,251,5.0,,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
319,Sam,Szmodics,Szmodics,u,Has joined Derby County on loan for the rest of the season,,5.0,257,159,0.0,625,269,0.0,552,226,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,552,226,0.0,0.0,525,209,525,215,480,180,533,212,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
320,Chuba,Akpom,Akpom,a,,,5.0,249,51,1.1,188,29,2.0,156,14,0,0,0,0,0,4611,1664,0.4,1.2,2.0,2.0,3.0,123,15,,,119,10,259,35,92,20,153,17,,,,,,,,1.27,0.0,1.27,5.27,0.0,0.0,5.22,0.0,3.91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5137,1779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
321,Sindre,Walle Egeli,Walle Egeli,a,,,4.5,536,71,3.3,98,14,0.3,329,41,0,0,0,0,0,9028,5172,0.1,0.2,0.3,0.3,1.0,280,32,,,461,41,326,41,405,43,471,46,,,,,,,,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9951,5616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
322,Ali,Al-Hamadi,Al-Hamadi,u,Has joined Sheffield Wednesday on loan for the rest of the season,,5.0,306,56,0.1,457,64,0.0,569,60,0,0,0,0,0,0,213,0.0,0.0,0.0,0.0,0.0,569,60,0.0,0.0,544,51,548,56,508,53,552,56,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
