player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
105,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,90.0,0.0,3.0,2.0,0.17,0.62,0.0,,,7.0,63.0,26.0,79.0,4.0,3.0,5.0,83.0,1.0,100.0,1.0,1.0,6.0,0.0,2.0,2.0,0.0,5.0,5.0,5.0,50.0,0.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
565,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,45.0,0.0,1.0,2.0,0.05,0.41,0.0,,,1.0,32.0,26.0,100.0,2.0,2.0,,,2.0,100.0,0.0,1.0,2.0,0.0,0.0,,1.0,2.0,1.0,2.0,67.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,46,90,0,0.0,0,,,,,,,
95,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,45.0,0.0,0.0,1.0,0.05,,1.0,,,1.0,20.0,9.0,75.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,3.0,1.0,33.0,0.0,0.0,,0.0,,,,,,,,1.0,,,,,,,0.04,,0,46,1,0.0,0,,,,,,,
106,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,28.0,1.0,0.0,1.0,0.68,0.02,1.0,,,1.0,19.0,8.0,73.0,0.0,2.0,,,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,67.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,0.28,,62,90,0,0.0,0,,,,,,,
88,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,19.0,0.0,0.0,,,0.01,,,,0.0,19.0,12.0,100.0,0.0,2.0,0.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,1.0,2.0,67.0,0.0,,1.0,0.0,,,,,,,,1.0,,,,,,,,,71,90,0,0.0,0,,,,,,,
267,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
93,26-27-efl-cup-birmingham-city-vs-brentford-2026-08-24,90.0,0.0,0.0,1.0,0.03,0.01,0.0,,,1.0,72.0,57.0,88.0,0.0,8.0,,,2.0,67.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,5.0,2.0,33.0,7.0,88.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
320,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,90.0,0.0,1.0,4.0,0.34,0.03,2.0,,,6.0,26.0,11.0,85.0,1.0,4.0,,,0.0,0.0,2.0,0.0,3.0,0.0,0.0,,0.0,6.0,2.0,6.0,75.0,0.0,,3.0,1.0,,,,,,,,1.0,,,,,,,1.02,,0,94,1,0.0,0,,,,,,,
300,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,90.0,,,,,,,,,,41.0,,,,5.0,,,,,0.0,0.0,12.0,,0.0,,,1.0,,1.0,100.0,,,1.0,0.0,7.0,1.0,2.13,1.13,1.0,17.0,1.0,,2.0,,3.0,,,,,,0,94,1,0.0,0,,,,,,,
308,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,90.0,0.0,0.0,,,0.01,,,,0.0,58.0,26.0,90.0,0.0,7.0,,,3.0,75.0,0.0,0.0,1.0,2.0,1.0,,0.0,1.0,3.0,0.0,0.0,1.0,50.0,,0.0,,,,,,,,1.0,,,,,,,,,0,94,1,0.0,0,,,,,,,
314,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
562,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,9.0,0.0,0.0,,,,,,,0.0,8.0,3.0,50.0,0.0,,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,81,94,0,0.0,0,,,,,,,
172,26-27-efl-cup-plymouth-argyle/exeter-city-vs-coventry-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0,,,,,,,
303,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,90.0,0.0,0.0,,,0.01,,,,1.0,57.0,42.0,88.0,0.0,6.0,,,2.0,100.0,3.0,1.0,5.0,2.0,1.0,,0.0,5.0,4.0,3.0,50.0,2.0,67.0,,3.0,,,,,,,,0.0,,,,,,,,,0,94,1,0.0,0,,,,,,,
304,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,90.0,0.0,0.0,1.0,0.11,0.07,1.0,,,3.0,70.0,42.0,82.0,1.0,10.0,1.0,100.0,7.0,54.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,5.0,,3.0,100.0,2.0,100.0,2.0,0.0,,,,,,,,0.0,,,,,,,0.15,,0,94,1,0.0,0,,,,,,,
564,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
313,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,81.0,0.0,1.0,1.0,0.04,0.27,1.0,,,0.0,32.0,15.0,79.0,3.0,3.0,1.0,33.0,1.0,33.0,1.0,0.0,2.0,1.0,0.0,,1.0,5.0,2.0,5.0,71.0,0.0,,2.0,1.0,,,,,,,,0.0,,,,,,,0.03,,0,81,1,0.0,0,,,,,,,
305,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,27.0,0.0,0.0,,,0.32,,,,1.0,20.0,10.0,71.0,2.0,4.0,0.0,0.0,2.0,33.0,0.0,0.0,1.0,0.0,2.0,,0.0,,1.0,0.0,0.0,0.0,,,1.0,,,,,,,,0.0,,,,,,,,,63,94,1,0.0,0,,,,,,,
591,26-27-efl-cup-ipswich-town-vs-leicester-city-2026-08-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
